Dödsorsaksstatistik, Antal döda per 100 000, C61 Malign tumör i prostata, Ålder: 45-85+, Män
År;Region;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
2018;Riket;0,60;2,01;10,02;18,76;45,98;102,96;205,75;418,70;1044,59;105,10
2018;Stockholms län;­­;2,50;7,56;10,47;48,04;112,67;201,02;321,07;1030,76;83,25
2018;Uppsala län;­­;­­;29,38;20,17;52,31;81,92;175,76;465,43;1058,03;102,64
2018;Södermanlands län;­­;­­;­­;11,80;34,10;108,42;176,47;682,59;949,03;113,97
2018;Östergötlands län;­­;­­;7,47;31,48;39,74;87,94;210,85;486,89;1172,89;117,09
2018;Jönköpings län;­­;­­;­­;19,54;40,61;71,02;192,55;525,94;1292,41;121,11
2018;Kronobergs län;­­;­­;­­;18,07;17,46;124,08;209,10;360,58;915,75;104,74
2018;Kalmar län;­­;­­;­­;25,87;12,47;84,99;159,57;198,41;1054,48;93,77
2018;Gotlands län;­­;­­;­­;98,02;94,65;­­;354,86;120,55;802,57;101,45
2018;Blekinge län;­­;­­;­­;21,67;21,04;119,36;140,21;520,95;929,47;111,18
2018;Skåne län;4,54;­­;5,18;22,26;33,95;99,50;197,61;364,78;956,62;97,28
2018;Hallands län;­­;­­;41,06;63,99;42,37;62,55;225,72;490,50;1133,31;124,74
2018;Västra Götalands län;­­;3,44;7,96;14,85;48,78;127,30;225,58;425,99;1062,83;110,36
2018;Värmlands län;­­;­­;11,33;­­;67,30;78,56;306,96;486,62;1280,88;137,69
2018;Örebro län;­­;­­;34,38;­­;34,93;124,70;133,05;351,75;984,86;96,57
2018;Västmanlands län;­­;10,28;12,01;­­;52,02;100,41;213,85;352,84;916,30;102,93
2018;Dalarnas län;­­;10,31;11,17;21,76;51,96;122,20;185,20;410,52;891,86;110,58
2018;Gävleborgs län;­­;­­;11,07;44,69;21,65;166,17;353,81;493,06;986,03;135,58
2018;Västernorrlands län;­­;­­;­­;25,18;111,04;112,07;182,63;517,46;1675,43;152,44
2018;Jämtlands län;­­;­­;25,27;23,72;93,89;23,35;182,15;349,85;921,33;99,85
2018;Västerbottens län;­­;11,56;12,83;12,48;74,72;52,27;200,14;566,15;880,72;109,87
2018;Norrbottens län;­­;­­;24,29;11,96;35,91;62,48;125,03;527,34;837,94;95,74
2017;Riket;0,30;1,46;8,15;22,36;45,77;107,29;221,83;441,13;1069,64;107,88
2017;Stockholms län;1,25;1,27;6,22;17,77;43,46;106,09;181,65;371,56;943,96;79,81
2017;Uppsala län;­­;­­;­­;50,89;30,41;105,71;240,63;437,19;1075,99;105,76
2017;Södermanlands län;­­;­­;22,85;23,60;­­;143,35;275,13;397,67;1154,82;118,21
2017;Östergötlands län;­­;6,51;7,55;15,78;54,69;105,58;323,50;412,01;1059,75;119,43
2017;Jönköpings län;­­;­­;38,24;19,61;49,65;51,98;205,53;586,58;1318,44;129,95
2017;Kronobergs län;­­;­­;­­;­­;102,11;127,13;194,39;574,71;1062,11;131,03
2017;Kalmar län;­­;11,81;­­;­­;61,13;74,27;188,57;441,18;887,47;104,60
2017;Gotlands län;­­;­­;­­;97,30;93,76;99,58;77,49;753,77;1968,83;170,89
2017;Blekinge län;­­;­­;­­;21,61;40,56;59,93;88,77;134,59;1011,52;79,91
2017;Skåne län;­­;­­;2,65;16,73;38,99;115,30;232,60;471,52;1002,03;107,21
2017;Hallands län;­­;­­;­­;10,76;31,24;42,72;96,61;179,65;1023,63;74,88
2017;Västra Götalands län;­­;3,48;14,17;25,56;58,72;123,23;214,95;496,25;1103,03;116,66
2017;Värmlands län;­­;­­;­­;22,51;87,59;126,98;321,97;579,33;1208,93;148,91
2017;Örebro län;­­;­­;11,69;11,91;45,50;114,86;304,93;395,32;1349,63;126,45
2017;Västmanlands län;­­;­­;12,32;13,17;37,50;77,64;166,48;580,24;1364,70;125,08
2017;Dalarnas län;­­;­­;22,48;21,41;10,07;147,91;230,49;529,80;705,69;108,30
2017;Gävleborgs län;­­;­­;­­;11,04;52,69;127,95;322,03;457,60;1226,79;132,11
2017;Västernorrlands län;­­;­­;­­;49,89;48,40;163,60;268,61;472,39;1028,07;129,21
2017;Jämtlands län;­­;­­;­­;46,86;­­;47,65;315,33;657,50;1268,05;132,83
2017;Västerbottens län;­­;­­;­­;49,73;36,74;54,19;167,12;306,47;1023,42;93,72
2017;Norrbottens län;­­;­­;12,03;35,49;46,98;102,20;246,75;277,28;1015,03;105,52
2016;Riket;0,30;2,10;5,81;24,65;52,65;124,64;225,49;458,58;1035,24;109,56
2016;Stockholms län;­­;2,62;6,33;20,05;61,75;155,01;180,19;386,52;1005,60;89,66
2016;Uppsala län;­­;­­;­­;41,33;29,41;77,89;164,59;636,65;1238,39;109,06
2016;Södermanlands län;­­;­­;­­;59,02;85,27;172,46;198,90;413,90;915,58;117,99
2016;Östergötlands län;­­;­­;7,56;39,61;30,42;101,36;182,68;549,73;1240,97;120,88
2016;Jönköpings län;­­;­­;19,14;­­;48,44;86,85;250,54;198,51;836,71;88,85
2016;Kronobergs län;­­;­­;­­;­­;50,13;113,96;259,59;505,05;932,84;116,17
