Antal nya cancerfall per 100 000 personer (crude rate), Ålder: 45-85+, Män, Diagnos:177 Prostata (blåshalskörtel), oavsett tumörtyp
År;Region;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
2017;Riket;30,88;110,43;284,69;528,88;793,05;853,48;923,13;749,65;594,73;472,58
2017;Stockholms län;36,17;101,52;225,30;355,49;592,67;650,83;789,37;608,01;658,11;343,42
2017;Uppsala län;17,31;93,34;240,28;478,37;983,32;1025,42;1048,47;786,94;638,87;515,41
2017;Södermanlands län;31,88;120,59;285,63;601,77;782,89;860,12;1289,66;1107,80;902,20;567,09
2017;Östergötlands län;33,71;65,07;264,29;599,68;984,45;1104,48;982,95;843,63;450,96;536,44
2017;Jönköpings län;25,33;106,86;286,83;696,01;953,37;821,33;1027,67;928,75;699,58;536,38
2017;Kronobergs län;31,89;170,37;393,03;733,26;1004,08;835,45;805,33;779,97;1385,36;595,38
2017;Kalmar län;39,10;35,42;199,72;510,11;782,49;829,31;603,43;441,18;496,98;426,84
2017;Gotlands län;55,40;146,99;476,06;632,45;984,53;896,19;1162,34;1381,91;492,21;642,54
2017;Blekinge län;18,83;144,69;210,48;561,74;669,24;1018,78;946,89;852,40;786,74;516,74
2017;Skåne län;29,59;123,73;259,49;420,96;615,41;812,87;811,92;731,90;430,62;412,14
2017;Hallands län;36,58;80,49;331,74;656,48;770,63;843,66;917,80;461,95;331,18;469,70
2017;Västra Götalands län;30,80;114,88;297,51;653,83;789,41;841,70;1003,08;847,53;711,42;502,00
2017;Värmlands län;21,94;190,37;513,61;922,75;1773,69;1281,31;1359,45;842,66;495,97;811,55
2017;Örebro län;0,00;111,85;280,54;392,95;659,80;608,74;735,43;760,23;510,67;394,58
2017;Västmanlands län;55,11;156,58;357,16;526,66;1025,06;659,98;887,90;671,86;682,35;505,21
2017;Dalarnas län;0,00;124,03;235,99;417,45;825,74;802,92;790,25;503,31;192,46;437,55
2017;Gävleborgs län;64,28;69,69;279,41;496,94;716,58;1034,23;1118,64;995,96;464,19;529,91
